,condition,sub,networks,mPHI,FC_ENT,ENT_PHI,ENT_Q,ENT_PC,ENT_SIG,mSIG
1,CON,sbj-LOR-1,WB126,0.749562576,1.143476161,1.121599627,1.0860078,1.624473564,1.25400694,2.180137155
2,CON,sbj-LOR-2,WB126,0.722169811,1.162541858,1.327583434,1.228205902,1.70048154,1.336711566,2.126598764
3,CON,sbj-LOR-3,WB126,0.735867633,1.180193894,1.383763523,1.348280139,1.77374765,1.384894771,2.593838129
4,CON,sbj-LOR-4,WB126,0.723611965,0.9644133,0.96925901,0.993863063,1.788920553,1.107158585,2.145961738
5,CON,sbj-LOR-5,WB126,0.736145705,0.862700137,1.063071629,1.208297011,1.710287559,1.258064829,2.544218676
6,CON,sbj-LOR-6,WB126,0.702871779,1.185526649,1.300341598,1.097287969,1.856588982,1.210858466,2.358437175
7,CON,sbj-LOR-7,WB126,0.734365198,0.920132458,1.159884923,1.051210566,1.78751565,1.145603933,2.150008175
8,CON,sbj-LOR-8,WB126,0.724186416,1.08745068,1.258600528,1.388194164,1.86395705,1.324061392,2.610471538
9,CON,sbj-LOR-9,WB126,0.749587052,0.992721585,1.308702411,1.191779445,1.706875288,1.286570164,2.320420994
10,CON,sbj-LOR-10,WB126,0.72489243,1.080912712,1.298221803,1.291922708,1.845460588,1.33295746,2.360271682
11,CON,sbj-LOR-11,WB126,0.71810629,0.996250276,1.036524763,1.066314225,1.773099366,1.195467686,1.453195657
12,CON,sbj-LOR-12,WB126,0.723199621,1.138371772,1.160681242,1.338758825,1.749833264,1.234395043,2.363080554
13,CON,sbj-LOR-13,WB126,0.710382116,0.879923088,1.363589802,1.195656212,1.780953084,1.341432617,1.646004313
14,CON,sbj-LOR-14,WB126,0.728610261,1.051761531,1.199278822,1.212921047,1.791805914,1.224711146,2.427879959
15,CON,sbj-LOR-15,WB126,0.756018274,0.956936188,1.224324328,1.270868298,1.730083667,1.302469535,1.925689572
16,CON,sbj-LOR-16,WB126,0.726777126,0.930588037,0.946643014,1.329240803,1.718941529,1.260172867,2.277382762
17,CON,sbj-LOR-1,WB553,0.711711843,1.124752687,1.153916618,1.003256061,1.574993443,0,1.792273981
18,CON,sbj-LOR-2,WB553,0.701922155,1.206376914,1.01999385,1.237022307,1.686070518,0,2.057083991
19,CON,sbj-LOR-3,WB553,0.67378378,1.057517161,1.426500721,1.361609254,1.777762763,0,2.011011693
20,CON,sbj-LOR-4,WB553,0.698055804,0.95338673,0.714503727,0.941920633,1.844029129,0,1.871344822
21,CON,sbj-LOR-5,WB553,0.707187558,0.925114319,1.153224874,1.23835163,1.61209371,0,1.982140118
22,CON,sbj-LOR-6,WB553,0.684549857,1.047013542,1.338950597,1.086344017,1.68201804,0,1.981769367
23,CON,sbj-LOR-7,WB553,0.678768374,0.913089651,0.712917448,1.019584326,1.71990307,0,2.062215323
24,CON,sbj-LOR-8,WB553,0.682522609,1.129149013,1.588219143,1.43176934,1.867722426,0,2.068672576
25,CON,sbj-LOR-9,WB553,0.716893664,0.961411167,0.788180563,1.216980372,1.700378847,0,1.893426364
26,CON,sbj-LOR-10,WB553,0.680076681,1.092452105,1.298823562,1.238041374,1.710710212,0,1.905833198
27,CON,sbj-LOR-11,WB553,0.701609905,1.004038486,1.2395127,1.047844889,1.81178371,0,1.206338591
28,CON,sbj-LOR-12,WB553,0.6916315,1.124827561,1.233070651,1.353738771,1.651809882,0,2.153334643
29,CON,sbj-LOR-13,WB553,0.711339599,0.879281494,0.857658919,1.069241646,1.642401423,0,1.446383675
30,CON,sbj-LOR-14,WB553,0.697376192,0.988767461,0.91567253,1.163897127,1.757021671,0,1.893167072
31,CON,sbj-LOR-15,WB553,0.697625804,0.95599167,1.142574487,1.245691996,1.742960543,0,1.6756273
32,CON,sbj-LOR-16,WB553,0.685895915,0.974720891,0.677911059,1.256786301,1.722973777,0,1.973322226
65,CON,sbj-LOR-1,Cor1,0.772925131,1.111641789,1.197458799,1.20087885,1.62402378,0,2.275915304
66,CON,sbj-LOR-2,Cor1,0.756578003,1.123128328,1.298407062,1.122164691,1.751683323,0,2.462894385
67,CON,sbj-LOR-3,Cor1,0.759432306,1.268786099,1.446926828,1.421650155,1.751745865,0,2.702149753
68,CON,sbj-LOR-4,Cor1,0.711463045,0.905973304,1.080030775,0.989460442,1.748469193,0,2.178285116
69,CON,sbj-LOR-5,Cor1,0.753556666,0.912412253,1.253819119,1.213369111,1.709397812,0,2.466878954
70,CON,sbj-LOR-6,Cor1,0.733114359,1.085721359,1.310128765,1.167910273,1.834682107,0,2.519415581
71,CON,sbj-LOR-7,Cor1,0.751033353,0.9809388,1.362818388,1.152881055,1.834575548,0,2.265191593
72,CON,sbj-LOR-8,Cor1,0.737327421,1.091916228,1.265694067,1.387464442,1.792192644,0,2.770515752
73,CON,sbj-LOR-9,Cor1,0.758447056,1.082971031,1.409810916,1.178311929,1.742476623,0,2.484520359
74,CON,sbj-LOR-10,Cor1,0.773031531,1.023349041,1.254106114,1.278592254,1.730753285,0,2.583842234
75,CON,sbj-LOR-11,Cor1,0.725491822,0.774507701,1.216583927,1.032632801,1.787630036,0,1.528243813
76,CON,sbj-LOR-12,Cor1,0.738949309,1.182107297,1.145247777,1.202720386,1.698957269,0,2.473246256
77,CON,sbj-LOR-13,Cor1,0.712629195,0.845726768,1.315863949,1.075206362,1.719251736,0,1.672520744
78,CON,sbj-LOR-14,Cor1,0.768649297,1.062070747,1.20137933,1.304041804,1.723352378,0,2.576455278
79,CON,sbj-LOR-15,Cor1,0.77945306,0.980140311,1.299196626,1.250846268,1.748593193,0,2.02151085
80,CON,sbj-LOR-16,Cor1,0.75499392,0.891164542,1.090859308,1.331676488,1.650433955,0,2.53393237
81,CON,sbj-LOR-1,Cor4,0.753544632,1.096440735,0.807775578,1.093436995,1.592822955,0,2.095549806
82,CON,sbj-LOR-2,Cor4,0.745512551,1.074309373,0.844660785,1.169212566,1.626469132,0,2.351184866
83,CON,sbj-LOR-3,Cor4,0.733241825,1.109072635,1.190502562,1.393783249,1.712437791,0,2.400894267
84,CON,sbj-LOR-4,Cor4,0.726953841,0.826986408,0.623283988,0.827729549,1.818862849,0,1.930687804
85,CON,sbj-LOR-5,Cor4,0.740922227,0.888673234,0.7108974,1.111229669,1.655120076,0,2.42827157
86,CON,sbj-LOR-6,Cor4,0.727040645,0.889139743,0.904833313,1.127070361,1.64216111,0,2.220032374
87,CON,sbj-LOR-7,Cor4,0.727169332,0.935151054,0.734732156,0.987375402,1.718422043,0,2.401145209
88,CON,sbj-LOR-8,Cor4,0.72911974,1.066774721,1.024838125,1.312611429,1.742192183,0,2.503964819
89,CON,sbj-LOR-9,Cor4,0.759991003,0.905180401,0.712617057,1.22400726,1.655160138,0,2.203115322
90,CON,sbj-LOR-10,Cor4,0.733600725,1.078511109,0.984142365,1.258233324,1.725519218,0,2.227879627
91,CON,sbj-LOR-11,Cor4,0.734563659,0.845237279,0.619767885,0.906809243,1.786993458,0,1.351643771
92,CON,sbj-LOR-12,Cor4,0.733338653,1.088503899,0.931826874,1.158205228,1.593762134,0,2.400699161
93,CON,sbj-LOR-13,Cor4,0.742631808,0.827743347,0.899450469,0.952683146,1.593678995,0,1.702143428
94,CON,sbj-LOR-14,Cor4,0.747401631,1.041224963,0.954985561,1.243079943,1.705366127,0,2.178727002
95,CON,sbj-LOR-15,Cor4,0.731220413,0.872080229,0.959967625,1.15376489,1.743961014,0,2.016093097
96,CON,sbj-LOR-16,Cor4,0.724342852,0.892129274,0.603599722,1.28857095,1.677876842,0,2.202665425
97,CON,sbj-LOR-1,SUB,0.813455363,0.841716451,1.163549751,1.306634295,1.857606869,0,2.918210999
98,CON,sbj-LOR-2,SUB,0.790566607,1.178654996,1.214958637,1.312818978,1.799467935,0,2.024332654
99,CON,sbj-LOR-3,SUB,0.843626045,1.054278201,1.205332333,1.224791037,1.817686165,0,2.153703185
100,CON,sbj-LOR-4,SUB,0.774756726,1.004472042,1.05266702,1.1470316,1.808181461,0,1.464047324
101,CON,sbj-LOR-5,SUB,0.85173844,1.069614977,1.214548411,1.196407376,1.75652928,0,1.905632503
102,CON,sbj-LOR-6,SUB,0.783686435,1.065317756,1.147704306,1.323974009,1.836849572,0,2.431460718
103,CON,sbj-LOR-7,SUB,0.821911629,1.209121591,1.276506363,1.407627788,1.842949025,0,2.809024724
104,CON,sbj-LOR-8,SUB,0.806419442,1.183831751,1.25424506,1.503878105,1.85693992,0,3.0546697
105,CON,sbj-LOR-9,SUB,0.775082843,0.946409788,1.245032939,1.435095928,1.918046122,0,2.519152669
106,CON,sbj-LOR-10,SUB,0.821696487,1.15593457,1.17489902,1.277850059,1.839959157,0,2.357318207
107,CON,sbj-LOR-11,SUB,0.831591203,1.057875586,1.164323075,1.253516562,1.839225317,0,2.962313365
108,CON,sbj-LOR-12,SUB,0.861809825,1.098974149,1.1662148,1.254069586,1.828813915,0,3.799209446
109,CON,sbj-LOR-13,SUB,0.775112624,0.862767782,1.220961511,1.274105962,1.804445739,0,2.081404982
110,CON,sbj-LOR-14,SUB,0.831342733,1.197746565,1.233435345,1.43412364,1.868200173,0,2.242137853
111,CON,sbj-LOR-15,SUB,0.791659419,1.224850893,1.284119199,1.245574267,1.812791796,0,1.797437908
112,CON,sbj-LOR-16,SUB,0.76228258,1.079557245,1.27666793,1.238293497,1.820366632,0,1.478398279
113,CON,sbj-LOR-1,AAL,0.724888977,1.039491166,1.202575593,1.0636047,1.683812938,1.157677937,1.985945766
114,CON,sbj-LOR-2,AAL,0.73532518,1.238011847,1.358258276,1.219719335,1.79463553,1.250318347,2.396741117
115,CON,sbj-LOR-3,AAL,0.7227212,1.15796773,1.467072297,1.320210106,1.889175089,1.295721309,2.269615023
116,CON,sbj-LOR-4,AAL,0.706481862,0.993945582,0.945871104,1.241486986,1.819198642,1.150651403,1.778592623
117,CON,sbj-LOR-5,AAL,0.721105804,0.967630645,1.184370352,1.220074346,1.660667625,1.295540697,2.299486228
118,CON,sbj-LOR-6,AAL,0.683138712,1.199042638,1.252638535,1.252358854,1.881488083,1.154503797,2.365987503
119,CON,sbj-LOR-7,AAL,0.729219638,0.825869873,1.0276529,1.028197572,1.942002672,1.138018796,2.174946801
120,CON,sbj-LOR-8,AAL,0.709350476,1.194091745,1.391282807,1.465998345,1.781861442,1.392919159,2.225160329
121,CON,sbj-LOR-9,AAL,0.756350327,1.015007475,1.416428755,1.244672582,1.797818979,1.377026309,2.056971722
122,CON,sbj-LOR-10,AAL,0.739809319,1.173732919,1.428562144,1.311137574,1.820353872,1.402169487,2.311923519
123,CON,sbj-LOR-11,AAL,0.719746101,0.933193486,1.052376197,1.134591862,1.799766115,1.131129246,1.273666085
124,CON,sbj-LOR-12,AAL,0.741357789,1.156702273,1.34788037,1.442933235,1.698510707,1.267987133,2.31429432
125,CON,sbj-LOR-13,AAL,0.742576492,0.924792185,1.452312478,1.180420735,1.68644524,1.373322666,1.479229992
126,CON,sbj-LOR-14,AAL,0.721349114,0.968990715,1.038951611,1.240322777,1.794019511,1.189935938,2.132456086
127,CON,sbj-LOR-15,AAL,0.698057423,1.025852934,1.256615615,1.265897299,1.783419199,1.217626774,1.633022029
128,CON,sbj-LOR-16,AAL,0.733212827,1.085895156,1.183525605,1.250528146,1.705179482,1.307071928,2.087252478
129,DEEP,sbj-LOR-1,WB126,0.761964241,1.145029461,1.362282454,1.252065051,1.70875566,1.264612955,2.699399146
130,DEEP,sbj-LOR-2,WB126,0.735174794,0.743173439,0.993104204,1.013223906,1.607203742,1.080358524,2.326018555
131,DEEP,sbj-LOR-3,WB126,0.739025101,1.287030753,1.497188522,1.295718239,1.803368923,1.276061357,2.406813237
132,DEEP,sbj-LOR-4,WB126,0.72308372,0.640177349,1.133387946,0.883900213,1.393674292,1.165332337,1.689725534
133,DEEP,sbj-LOR-5,WB126,0.72811213,0.852983283,1.157374539,1.242341607,1.725435556,1.268263744,2.134779413
134,DEEP,sbj-LOR-6,WB126,0.731419326,1.105729756,1.201728499,1.550738372,1.79341399,1.306982858,2.472466137
135,DEEP,sbj-LOR-7,WB126,0.738970171,0.761619083,1.010179976,1.102119979,1.742667171,1.126759943,2.243207319
136,DEEP,sbj-LOR-8,WB126,0.728486043,0.906861301,1.002804418,1.182876686,1.681646501,1.16198821,1.922010278
137,DEEP,sbj-LOR-9,WB126,0.747937238,0.798255775,1.215493905,1.021932613,1.658719264,1.266361774,1.74028319
